filename,driver,semantics,durations,lateral,longitudinal,safe,law,average,variance,category
6_B4.,6_B,"['缓慢减速，右偏', '激烈减速，左偏', '激烈加速，左偏', '缓慢减速，右偏', '激烈加速，左偏', '激烈减速，左偏']","[1.3, 1.2, 1.7, 3.4, 1.1, 2.9]",54.98296721,34.23869524,25.3578715,100,53.64488349,1109.114161,good
6_C1.,6_C,"['缓慢减速，右偏', '激烈减速，左偏', '激烈加速，右偏']","[2.0, 1.9, 2.1]",0,0,25,100,31.25,2239.583333,poor
6_C2.,6_C,"['缓慢加速，直行', '激烈减速，右偏', '缓慢加速，直行', '激烈减速，右偏', '缓慢加速，直行']","[1.5, 2.2, 2.5, 2.2, 3.2]",55.46454513,11.82240572,25,100,48.07173771,1532.505726,poor
6_C3.,6_C,"['激烈加速，右偏', '缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[1.6, 1.1, 2.3, 3.9, 2.7]",55.33222273,64.3489181,25,100,61.17028521,953.4076545,poor
6_C4.,6_C,"['激烈减速，直行', '缓慢加速，直行', '激烈减速，直行', '缓慢加速，直行']","[1.6, 2.4, 3.1, 4.0]",0,0,25,100,31.25,2239.583333,poor
6_D1.,6_D,"['激烈减速，右偏', '不加速，左偏', '激烈减速，右偏']","[4.9, 5.3, 1.5]",54.26678764,18.79820078,0,100,43.26624711,1936.79468,poor
6_D2.,6_D,"['缓慢加速，左偏', '激烈减速，右偏', '激烈加速，左偏', '激烈减速，右偏', '激烈加速，左偏']","[1.7, 2.8, 1.1, 4.1, 1.9]",0,0,25,100,31.25,2239.583333,poor
6_D3.,6_D,"['缓慢减速，直行', '激烈加速，右偏换道', '缓慢减速，直行']","[4.7, 2.0, 3.8]",0,0,25,100,31.25,2239.583333,poor
6_D4.,6_D,"['激烈减速，直行', '缓慢加速，右偏换道', '激烈减速，直行', '缓慢加速，右偏换道']","[3.6, 3.0, 2.3, 2.1]",0,0,25,100,31.25,2239.583333,poor
7_A1.,7_A,"['缓慢减速，左偏', '激烈减速，左偏', '缓慢减速，左偏', '缓慢加速，直行', '激烈减速，左偏', '缓慢加速，直行']","[1.4, 1.4, 1.2, 4.3, 1.7, 1.6]",60.52199941,57.05651104,34.33122161,100,62.97743301,744.1207884,good
7_A2.,7_A,"['缓慢减速，直行', '缓慢加速，直行', '缓慢减速，直行', '缓慢加速，直行', '不加速，直行', '缓慢减速，直行']","[2.8, 2.5, 1.1, 1.5, 1.8, 2.0]",75,75,42.28971446,100,73.07242862,560.0335514,excellent
7_A3.,7_A,"['激烈加速，直行', '激烈减速，直行', '不加速，直行', '激烈加速，直行']","[2.4, 1.2, 1.9, 6.1]",55.35943079,62.98587562,45.19495496,100,65.88506534,570.367906,good
7_A4.,7_A,"['缓慢加速，右偏', '激烈减速，左偏', '缓慢加速，右偏', '激烈减速，左偏']","[1.3, 1.3, 5.0, 4.0]",0,0,35.85181255,100,33.96295314,2223.807907,poor
7_B1.,7_B,"['缓慢加速，左偏', '不加速，右偏', '缓慢减速，直行', '缓慢加速，左偏']","[1.7, 1.4, 3.6, 4.9]",75,75,65.25232494,100,78.81308124,220.619605,excellent
7_B2.,7_B,"['不加速，左偏', '激烈减速，右偏', '不加速，左偏']","[2.2, 2.4, 7.0]",63.37029946,54.36191744,66.90474674,100,71.15924091,397.5692634,excellent
7_B3.,7_B,"['缓慢加速，左偏', '激烈减速，直行']","[3.2, 7.2]",0,0,25,100,31.25,2239.583333,poor
7_B4.,7_B,"['激烈减速，直行', '不加速，直行']","[2.4, 6.5]",0,0,41.7285383,100,35.43213457,2239.842089,poor
